Question ID,dataset,comment_id,Question,box_entity,box_def,Position
2,mhs,2040,"fuck the queen, aborted that bitch in 1776","['aborted', 'bitch', 'fuck', 'queen']","['Abortion is the ending of pregnancy due to removing an embryo or fetus before it can survive outside the uterus.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.', 'A rude word used when expressing extreme anger', 'A gay man who is considered to be feminine.']",1
3,mhs,10500,in all honestly she has probably a chemical imbalance with over load of hormones and her father should be helping her not calling her the devil this is abuse.,"['abuse', 'father', 'hormone', 'her', 'she']","['To treat someone cruelly or violently.', 'A caretaker and/or immediate progenitor of a child.', 'Referring to a compound  formed in specialized organ or group of cells, in the same organism, upon which it has a specific regulatory function.', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.']",2
4,gabhatecorpus,1446,"Chicago Cardinal: Global Warming, Migrants Are Bigger Agenda than Sex Abuse http:// bit.ly/ 2BTFjCf via @BreitbartNews way to deflect those accusations",['sex abuse'],"['The act of making someone take part in sexual activities, against their wishes, or without their agreement.']",3
5,mhs,39232,"us embassy in delhi: #sushmaswaraj was a steadfast advocate for her compatriots. as external affairs minister, she was a key partner in strengthening us- india bilateral relationship, most prominently during the inaugural 2+ 2 ministerial dialogue in september 2018. url","['advocate', 'partner', 'her', 'she']","['A person who supports others to make their voices heard, or ideally for them to speak up for themselves.', 'A person or organization you are closely involved with in some way.', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.']",4
6,mhs,38676,"@sushmaswaraj @narendramodi to all pakistani handles laughing n mocking her.. have some shame guys. she was a great leader n her work as external affairs minister was commendable on both sides of border. it is really shameful& disheartening to see you guys happy about someone dying. nothing ""pak"" abt it ","['her', 'she', 'mocking', 'shame', 'guys']","['To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'The act of insulting or making light of a person or other thing, sometimes merely by taunting, but often by making a caricature, purporting to engage in imitation in a way that highlights unflattering characteristics.', 'A painful emotion resulting from a feeling of inadequacy, embarrassment, or guilt.', 'Used to adress a group of people of either sex.']",5
7,gabhatecorpus,25672,She wrote in her second book she likes the idea of lower the age of consent {kid fucking} to 12. 200 and something is the page. Read to 300. You will find she supported the NMBLA Agenda. No bullshit. 100% ,"['age of consent', 'her', 'she', 'fucking', 'kid']","['The age at which a person is considered to be legally competent to consent to sexual acts.', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'A rude word meaning to have sex with someone.', 'A child.']",6
8,mhs,23027,israeli forces aggressively arrest this palestinian lady and call her a bitch. #palestine #gaza url,"['lady', 'aggressively', 'arrest', 'her', 'bitch']","['A polite or old-fashioned way of referring to or talking to a woman.', 'A behavioral interaction which has the intention of inflicting physical damage on another individual.', 'The act of apprehending a person and taking them into custody, usually because they have been suspected of committing a crime.', 'To refer to a woman, girl, or female.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.']",7
9,mhs,49335,that white bitch makes me angry,"['angry', 'bitch']","['A strong emotional feeling of displeasure aroused by being interfered with, injured or threatened.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.']",8
11,gabhatecorpus,13368,"Step in the right direction. If it does nothing but put the fear of God into good old Lois, that 's better than what we have now. If Congress holds her in contempt, she can be arrested as Eric Holder should have been. That would also make me happy.","['arrest', 'her', 'she', 'happy', 'fear']","['The act of apprehending a person and taking them into custody, usually because they have been suspected of committing a crime.', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'Happiness is an emotion characterized by positive or pleasant emotions ranging from contentment to intense joy.', 'Fear is a negative emotion induced by a perceived threat that induces one to hide or move quickly away from the location of the perceived threat.']",9
12,gabhatecorpus,25263,"Reality bites Auntie Max, Maxine Waters, in the ass!  Throws a meet and greet campaign rally for her beloved Millennials. Despite slogan Millennials come energized, ready to get the vote out,"" she plays to empty seats when only 10 show up. #Gab #GabFam #SpeakFreely #Chat #Americans","['aunti', 'her', 'she']","['An older, stereotypically feminine, and ""gossipy"" gay man.', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.']",10
