User,Question ID,Question,About gender?,About transgender?,Gender Unclear/Not-Referring,If Gender Unclear,Justify Gender,About sexuality?,Sexuality Unclear/Not-Referring,If Sexuality Unclear,Justify Sexuality,Hate speech?,Is the hate speech targeting?,Phase
63,141,"lesbian police chief fired white male officers just got sacked by burqa betsy, who chose murdering mudslime over gay vote, whatever will burqa betsy do when she loses election and police do not respond to the calls for help when her mudslime demand entry to her home and bedroom","men, women",,,,"male, her",homosexual,,,"lesbian, gay",1,1,1
63,119,Trump can offer her Sanctuary and free her from that Shit Hole.¬†,"men, women",,,,her,,not-referring,,,1,2,1
63,109,o i remember nikki her real shit skin name is nimrod i dont know why shes allowed to use a fucking alias to make her stupid name look white but the fucking cow worshiping dothead makes me fucking sick,women,,,,Her,,not-referring,,,1,2,1
63,168,,"men, women",,,,"her, his, girlfriend",,not-referring,,,2,2,1
63,32,yeah becasue you are one of those trailer trash cunts living in the ghetto countryside you disgusting whore,women,,,,Whore,,not-referring,,,1,1,1
63,143,megyn is a shame to usa she is typical msm vlad shamed her right back good nasty lil bitch ho,women,,,,"she, her",,not-referring,,,3,3,1
63,46,shut up you frog face ass bitch you look like you was in 8 mile nigga url,women,,,,bitch,,not-referring,,,1,1,1
63,80,"ok, racist crackhead bitch... just go add coconut oil to your ugly ass hair, do your daily crack, and deactivate your account... do the world a favor hun. url",,,not-referring,,,heterosexual,not-referring,,ass,1,2,1
63,107,id throw a bible at chenpa but she 'd probably shove it up her ass,women,,,,"she, her",,not-referring,,,3,3,1
63,230,"Welcome aboard Gen 'l! I got banned first time for reposting facial pictures of Erik Clanton to major media sites after his Antifa bandanna fell of. Said I was ""spamming"" and demanded my government ID. Fuck 'em- I sent the avatar you see now and told 'em I went ""Trans- species"". Tards have no sense of humor..",men,,,,His,,not-referring,,,1,2,1
63,252,another 9/ 11 victim has been identified. remember her instead of wetting yourselves over omar.,women,,,,her,,unclear,wetting yourselves over omar,,3,3,1
63,231,the worst of the worst transgender fag nigger now if it was also a kike we hit the trifecta,"men, yes",Yes,,,transgender fag,homosexual,,,transgender fag,1,1,1
63,54,the little faggot kid who is voicing this his dad is a special agent for the fbi special operations unit i have been reading,men,,,,his,,not-referring,,,2,2,1
63,240,"MINNEAPOLIS (KMSP)‚ A 32- year- old Bloomington man is facing multiple charges after he reportedly hid in a women 's bathroom at Community¬† Tec Col, then crawled into a stall to sexually assault a woman.","men, women",,,,"he, woman",heterosexual,,,"he, woman",2,2,1
63,68,How about a princess who survives an abortion. Like fairies pull her out of the medical waste tank and bring her back to life. So the whole movie she is a 12- week- old fetus in a pretty dress having adventures.,women,,,,"princess, fairies,  her, she",,not-referring,,,2,2,1
63,141,"lesbian police chief fired white male officers just got sacked by burqa betsy, who chose murdering mudslime over gay vote, whatever will burqa betsy do when she loses election and police do not respond to the calls for help when her mudslime demand entry to her home and bedroom","men, women",,,,"lesbian, male, gay, she, her",homosexual,,,"lesbian, gay",1,1,2
63,119,Trump can offer her Sanctuary and free her from that Shit Hole.¬†,"men, women",,,,"trump, her",,not-referring,,,1,1,2
63,109,o i remember nikki her real shit skin name is nimrod i dont know why shes allowed to use a fucking alias to make her stupid name look white but the fucking cow worshiping dothead makes me fucking sick,women,,,,her,heterosexual,not-referring,,fucking,1,1,2
63,168,,"men, women",,,,"his, her, she",heterosexual,,,girlfriend,1,1,2
63,32,yeah becasue you are one of those trailer trash cunts living in the ghetto countryside you disgusting whore,women,,,,"cunts, whore",heterosexual,,,"cunts, whore",1,1,2
63,143,megyn is a shame to usa she is typical msm vlad shamed her right back good nasty lil bitch ho,"men, women",,,,"ho, msm, her, she, bitch","heterosexual, homosexual",,,"msm, bitch",1,1,2
63,46,shut up you frog face ass bitch you look like you was in 8 mile nigga url,women,,,,bitch,heterosexual,,,Bitch,1,1,2
63,80,"ok, racist crackhead bitch... just go add coconut oil to your ugly ass hair, do your daily crack, and deactivate your account... do the world a favor hun. url",non-binary,,,,hun,"heterosexual, homosexual",,,"bitch, hun",1,1,2
63,107,id throw a bible at chenpa but she 'd probably shove it up her ass,women,,,,"she, her",heterosexual,,,ass,3,3,2
63,230,"Welcome aboard Gen 'l! I got banned first time for reposting facial pictures of Erik Clanton to major media sites after his Antifa bandanna fell of. Said I was ""spamming"" and demanded my government ID. Fuck 'em- I sent the avatar you see now and told 'em I went ""Trans- species"". Tards have no sense of humor..","men, non-binary",,,,"his, trans",heterosexual,,,fuck,1,1,2
63,252,another 9/ 11 victim has been identified. remember her instead of wetting yourselves over omar.,"men, women",,,,"her, Omar",heterosexual,,,wetting,1,1,2
63,231,the worst of the worst transgender fag nigger now if it was also a kike we hit the trifecta,"men, non-binary",,,,"transgender, fag",homosexual,,,"transgender, fag",1,1,2
63,54,the little faggot kid who is voicing this his dad is a special agent for the fbi special operations unit i have been reading,men,,,,"faggot, his",,not-referring,,,1,1,2
63,240,"MINNEAPOLIS (KMSP)‚ A 32- year- old Bloomington man is facing multiple charges after he reportedly hid in a women 's bathroom at Community¬† Tec Col, then crawled into a stall to sexually assault a woman.",men,,,,"man, woman, he",heterosexual,,,"man, woman, he",2,2,2
63,68,How about a princess who survives an abortion. Like fairies pull her out of the medical waste tank and bring her back to life. So the whole movie she is a 12- week- old fetus in a pretty dress having adventures.,women,,,,"princess, her, she",heterosexual,,,"abortion, fetus",3,3,2
76,51,luis carlos castillo torres be quiet illegal or i will call trump fucking pussy hood rat fag,men,,,,pussy,homosexual,,,fag,1,1,1
76,172,ya right ivanjerkenoff fuckoffisy bored at fsb da grab putin pussy or ur white trash bitch fuck u,women,,,,bitch,,not-referring,,,1,3,1
76,168,,women,,,,girlfriend,,not-referring,,,2,2,1
76,247,soon you will be thrown in jail for giving some rag head moslem bitch a funny look or not giving her your seat on the bus,women,,,,bitch,,not-referring,,,1,3,1
76,195,"2030: A GLIMPSE¬†-¬† April is set to become 'Anal Sex Month' in the U.S. after a joint resolution proclaiming so sailed through both houses earlier today. Many lawmakers expressed disappointment that 'Pedo Week' legislation is, for now, on hold as Freedom Caucus members threatened a filibuster citing states rights as their only objection. #Cantwell @PNN",,,not-referring,,,homosexual,,,"Anal Sex, Pedo",1,1,1
76,97,"Well, I can 't say you are wrong, because I don 't know enough about her, but I do know she was fined $330 Euros for calling Mohammed a pedophile and saying Somalis rape as a feature of their genetics.",women,,,,"her, she",,not-referring,,,1,2,1
76,103,"Yeah, I don 't love her, but she 's a gateway jew. She doesn 't hurt us, so I don 't say anything negative about her.",women,,,,"She, her",,not-referring,,,3,2,1
76,19,look at the price of shit in tis bitch,women,,,,bitch,,not-referring,,,3,3,1
76,112,"the twitter post in which l southern simonsen was exposed with her based trump hat nigger was made by a nazbol supposedly i am not too familiar with them it just funny that the white knights call some of us thot patrollers nazbol implying we are communists, is alexander dugin nazbol",women,,,,thot,,not-referring,,,1,2,1
76,156,my masculine is awakening through my spiritual elevation,men,,,,masculine,,not-referring,,,2,2,1
76,230,"Welcome aboard Gen 'l! I got banned first time for reposting facial pictures of Erik Clanton to major media sites after his Antifa bandanna fell of. Said I was ""spamming"" and demanded my government ID. Fuck 'em- I sent the avatar you see now and told 'em I went ""Trans- species"". Tards have no sense of humor..","other, yes",Yes,,,Trans-species,,not-referring,,,1,1,1
76,178,russia is playing with usa wet pussy... usa just need to open her legs and let the big weapon fill in... stupid bitch..,women,,,,"pussy, bitch",heterosexual,,,open her legs,3,3,1
76,171,"If you 're referencing the post about pornography (under which this thread is not located), then I was not attacking just your masculinity (if, as it seems, you are supporting pornography): I was attacking your personhood.",men,,,,masculinity,,not-referring,,,2,2,1
76,211,"literally all you gotta do is look at aoc, listen to her talk, youll know she is bat shit insane, then listen to how the muslim rag head bitch married her own brother to know this whollleeee country is fucked. h.o.l.y fuck",women,,,,"she, bitch",,not-referring,,,1,2,1
76,181,"This super low IQ pussy, is just trying to revive his shit stained, failed career, such as it was, so he can pay for more failed plastic surgery. http:// nosejobsurgerybeforeafter.com/ mickey- rourke- plastic- surgery/","men, women",,,,"his, he, pussy",,not-referring,,,1,2,1
76,51,luis carlos castillo torres be quiet illegal or i will call trump fucking pussy hood rat fag,men,,,,"pussy, fag",homosexual,,,fag,1,1,2
76,172,ya right ivanjerkenoff fuckoffisy bored at fsb da grab putin pussy or ur white trash bitch fuck u,,,unclear,"I don't think that the Original Poster have any idea about the gender of the subject of the post. While he used ""bitch"", it could be used for both men and women, so it is hard to determine.",,,not-referring,,,1,2,2
76,168,,"men, women",,,,"She, her, girlfriend, his",,not-referring,,,2,2,2
76,247,soon you will be thrown in jail for giving some rag head moslem bitch a funny look or not giving her your seat on the bus,women,,,,"bitch, her",,not-referring,,,1,2,2
76,195,"2030: A GLIMPSE¬†-¬† April is set to become 'Anal Sex Month' in the U.S. after a joint resolution proclaiming so sailed through both houses earlier today. Many lawmakers expressed disappointment that 'Pedo Week' legislation is, for now, on hold as Freedom Caucus members threatened a filibuster citing states rights as their only objection. #Cantwell @PNN",,,not-referring,,,"homosexual, other",,,"Anal sex, pedo",1,1,2
76,97,"Well, I can 't say you are wrong, because I don 't know enough about her, but I do know she was fined $330 Euros for calling Mohammed a pedophile and saying Somalis rape as a feature of their genetics.",women,,,,"her, she","heterosexual, other",,,"rape, pedophile",1,2,2
76,103,"Yeah, I don 't love her, but she 's a gateway jew. She doesn 't hurt us, so I don 't say anything negative about her.",women,,,,"her, she",,not-referring,,,3,2,2
76,19,look at the price of shit in tis bitch,women,,,,bitch,,not-referring,,,2,2,2
76,112,"the twitter post in which l southern simonsen was exposed with her based trump hat nigger was made by a nazbol supposedly i am not too familiar with them it just funny that the white knights call some of us thot patrollers nazbol implying we are communists, is alexander dugin nazbol",women,,,,"her, thot",,unclear,"Not sure, but the ""thot patrollers"" would be about the sexuality - but it is hard to label it.",,1,3,2
76,156,my masculine is awakening through my spiritual elevation,men,,,,masculine,,not-referring,,,2,2,2
76,230,"Welcome aboard Gen 'l! I got banned first time for reposting facial pictures of Erik Clanton to major media sites after his Antifa bandanna fell of. Said I was ""spamming"" and demanded my government ID. Fuck 'em- I sent the avatar you see now and told 'em I went ""Trans- species"". Tards have no sense of humor..","men, yes",Yes,,,"his, trans-",,not-referring,,,1,1,2
76,178,russia is playing with usa wet pussy... usa just need to open her legs and let the big weapon fill in... stupid bitch..,women,,,,"her, bitch, pussy",heterosexual,,,"open her legs, big weapon fill in",3,2,2
76,171,"If you 're referencing the post about pornography (under which this thread is not located), then I was not attacking just your masculinity (if, as it seems, you are supporting pornography): I was attacking your personhood.",men,,,,masculinity,,unclear,"""Pornography"" is about the sexuality, but i don't know which labels would that fall in.",,2,2,2
76,211,"literally all you gotta do is look at aoc, listen to her talk, youll know she is bat shit insane, then listen to how the muslim rag head bitch married her own brother to know this whollleeee country is fucked. h.o.l.y fuck","men, women",,,,"her, she, bitch, brother",heterosexual,,,married,1,2,2
76,181,"This super low IQ pussy, is just trying to revive his shit stained, failed career, such as it was, so he can pay for more failed plastic surgery. http:// nosejobsurgerybeforeafter.com/ mickey- rourke- plastic- surgery/","men, women",,,,"pussy, his, he",,not-referring,,,1,2,2
104,23,McCain completely out of the closet,,,unclear,out of the closet could refer to male or female,,"homosexual, bisexual",,,out of the closet,2,2,1
104,40,like a dike bitch niggas can ‚t fuck wit me,women,,,,bitch,homosexual,,,dike,1,1,1
104,57,Tell him to bring his goat and camel fucking faggot ass to America and burn a flag in front of me... I will beat him into a trauma center bare handed that faggot pussy bitch don 't have the balls to come here and do it,,,not-referring,,,homosexual,,,faggot,1,1,1
104,73,HAHA- Joy Reid steps in shit as she gets busted making libtard triggering anti- gay comments because she doesn 't know how to spell 'feud' https:// www.infowars.com/ busted- joy- reid- misspelling- suggests- she- did- write- homophobic- blog- posts/,,,not-referring,,,homosexual,,,anti-gay,2,2,1
104,89,glad they found that white bitch amber guyer guilty but i am not too sure about the sentencing they might give her fuckin probation or some done shit,women,,,,bitch,,not-referring,,,1,2,1
104,105,i dont even want her on the same planet as dr ben carson she symbolizes everything he is not a low life ghetto queen,women,,,,queen,,not-referring,,,1,1,1
104,153,"This magazine cover reads like a parody issue. 'Is Success An Illness?', 'The Other Lover: Why I Vetted My Wife 's Affair' and, of course, the body positivity model... In 10 or 15 years when she starts having health issues, she 'll expect someone else to pay for her bad choices.",,,not-referring,,,,not-referring,,,2,2,1
104,170,i just overheard my girlfriend telling her sister that she taking her retarded boyfriend to the pub tonight i can not believe she cheating on me,,,not-referring,,,,not-referring,,,1,2,1
104,187,nah hillary loves muzzies the same way she loves rapists those are her peeps,,,not-referring,,,,not-referring,,,1,2,1
104,222,,,,not-referring,,,,not-referring,,,1,1,1
104,241,"makes sense, I 'm glad you added that if i said black pride it would be equally as racist because that means your point is valid, honestly a 10/ 10 reply. upvoted.",,,not-referring,,,,not-referring,,,2,2,1
104,41,,,,not-referring,,,,not-referring,,,1,2,1
104,58,fucking ulgly ass bitch ass stinky ass bitch ass nigger slave nigger teacher faggot peace of shit suck a dick,women,,,,bitch,,not-referring,,,1,1,1
104,74,"I don 't think I am being gullible ,Jews made up less than half of the holocaust 's victims .Gypsies and Russians made a considerable portion of the rest .Not to mention homosexuals and the mentally ill .If it is an international racist insult it falls flat .",,,not-referring,,,homosexual,,,homosexual,2,2,1
104,106,i can find a nigger to shit on her bellybutton if she will hold her tits out of the way,,,unclear,,,,not-referring,,,1,1,1
104,23,McCain completely out of the closet,,,not-referring,,,homosexual,,,out of the closet,2,3,2
104,40,like a dike bitch niggas can ‚t fuck wit me,women,,,,bitch,homosexual,,,dike,1,1,2
104,57,Tell him to bring his goat and camel fucking faggot ass to America and burn a flag in front of me... I will beat him into a trauma center bare handed that faggot pussy bitch don 't have the balls to come here and do it,women,,,,bitch,homosexual,,,faggot,1,1,2
