IRI,Label,Labels,Def,Pruned,Modified,
http://purl.obolibrary.org/obo/GSSO_000137,LGBT,"['LGBT', 'LBGT', 'lesbian, gay, bisexual and transgender', 'lesbian, gay, bisexual, and transgender', 'LGBT+', 'BGLT', 'GLBT']","An initialism for lesbian, gay, bisexual, transgender.",,,
http://purl.obolibrary.org/obo/GSSO_000586,LGBTQ,"['LGBTQ', 'LGBTQ+', 'lesbian, gay, bisexual, transgender, and queer', 'lesbian, gay, bisexual, transgender, or queer', 'lesbian, gay, bisexual, transgender, queer']","An initialism standing for lesbian, gay, bisexual, transgender, queer and/or questioning.",,,
http://purl.obolibrary.org/obo/GSSO_007701,LGBTQ Jews,"['LGBTQ Jews', 'LGBTQ Jewish people', 'LGBT Jewish people', 'LGBT Jewish persons', 'LGBT Jews', 'gay Jew', 'queer Jew', 'queer Jewish person']",LGBTQ people who are Jewish.,,,
http://purl.obolibrary.org/obo/GSSO_001019,LGBTQ pride,"['LGBTQ pride', 'pride', 'LGBTQIA+ pride', 'LGBT pride', 'gay pride', 'queer pride']","The promotion of the self-affirmation, dignity, equality, and increased visibility of LGBTQIA+ people as a social group.",,,
http://purl.obolibrary.org/obo/GSSO_001825,Latina woman,"['Latina woman', 'Latina women', 'Latina']","Persons, usually in the United States, who identify as Latina; broadly, all Latin American women. ",,Summary,
http://purl.obolibrary.org/obo/GSSO_006389,Me Too movement,"['Me Too movement', '#MeToo', '#MeToo movement', '#MeToo feminism', 'Me Too feminism']","A movement against sexual harassment and sexual assault. The phrase ""Me Too"" was initially used on social media in 2006, on Myspace, by sexual harassment survivor and activist Tarana Burke. Similar to other social justice and empowerment movements based upon breaking silence, the purpose of ""Me Too"" is to empower women through empathy and strength in numbers, especially young and vulnerable women, by visibly demonstrating how many women have survived sexual assault and harassment, especially in the workplace.",,Summary,
http://purl.obolibrary.org/obo/GSSO_002327,X-gender,"['X-gender', 'male to X-gender', 'female to X-gender']",Transgender identity in Japan which is not considered male or female. Sometimes considered equivalent to words like genderqueer or non-binary.,,,
http://purl.obolibrary.org/obo/GSSO_004413,abortion,"['abortion', 'abortions', 'abortions and stillbirth', 'abortion NOS', 'other abortion', 'unspecified abortion', 'abort', 'aborted', 'aborticide', 'aborting', 'abortion finding', 'abortions not specific as induced or spontaneous', 'aborts', 'fetus-deletus', 'loss of pregnancy', 'other pregnancy with abortive outcome', 'pregnancy with abortive outcome', 'termination of pregnancy']",Abortion is the ending of pregnancy due to removing an embryo or fetus before it can survive outside the uterus.,,,
http://purl.obolibrary.org/obo/GSSO_009800,abusive person,"['abusive person', 'abusive people', 'abusive persons', 'abuser']",A person who abuses another person or people.,,,
http://purl.obolibrary.org/obo/GSSO_002211,adultery,"['adultery', 'act of adultery', 'adulterous relationship', 'spouse committed adultery']","Extramarital coitus that is considered objectionable on social, religious, moral, or legal grounds.",,,
http://purl.obolibrary.org/obo/NCIT_C19138,advocate,"['advocate', 'advocates']","A person who supports others to make their voices heard, or ideally for them to speak up for themselves.",,,
http://purl.obolibrary.org/obo/GSSO_000840,affair,"['affair', 'affairs']","A sexual relationship, romantic friendship, or passionate attachment between two people without the attached person's significant other knowing.",,,
http://purl.obolibrary.org/obo/GSSO_003094,age of consent,['age of consent'],The age at which a person is considered to be legally competent to consent to sexual acts.,,,
http://purl.obolibrary.org/obo/GO_0002118,aggressive behavior,"['aggressive behavior', 'aggressive behaviors', 'aggression', 'aggressiveness']",A behavioral interaction which has the intention of inflicting physical damage on another individual.,,Summary,
http://purl.obolibrary.org/obo/GSSO_011780,alt-right politics,"['alt-right politics', 'alt-right', 'alternative right politics']",Politics which are far-right and white nationalist in nature.,,,
http://semanticscience.org/resource/SIO_000410,anger,"['anger', 'angry']","A strong emotional feeling of displeasure aroused by being interfered with, injured or threatened.",,,
http://semanticscience.org/resource/SIO_000814,annoyance,"['annoyance', 'annoy', 'annoyed', 'annoying']",Annoyance is an unpleasant emtion that is characterized by a abnormal or excessive sensitivity to some external stimulus.,,,
http://purl.obolibrary.org/obo/GSSO_003098,antisemitism,"['antisemitism', 'Anti-Semitism', 'Antisemitism', 'anti-Semitism', 'anti-semitism']","Hostility to, prejudice, or discrimination against Jews.",,,
http://purl.obolibrary.org/obo/GSSO_007664,arrest,"['arrest', 'arrests']","The act of apprehending a person and taking them into custody, usually because they have been suspected of committing a crime.",,,
http://purl.obolibrary.org/obo/GSSO_003002,assaultive behavior,"['assaultive behavior', 'assaultive behaviors', 'assault']","Individual or group aggressive behavior which is socially non-acceptable, turbulent, and often destructive. It is precipitated by frustrations, hostility, prejudices, etc.",,,
http://purl.obolibrary.org/obo/GSSO_008540,beating,"['beating', 'beats', 'beat', 'beat up', 'beaten']","Assaultive behavior in which a person (who may be considered a victim) is hit or struck repeatedly, with or without a weapon.",,,
http://purl.obolibrary.org/obo/GSSO_002844,binarism,"['binarism', 'discrimination against nonbinary gender people', 'discrimination against nonbinary individual', 'discrimination against nonbinary people', 'gender binarism', 'binarist', 'genderism']","Discrimination against persons not adhering to binary gender norms, typically nonbinary persons.",,,
http://purl.obolibrary.org/obo/GSSO_001590,bisexual,"['bisexual', 'B', 'bi', 'bisexual orientation', 'bisexual sexual orientation', 'bisexual+', 'ambisexual', 'amphisexual', 'androgynophilia', 'sexoschizia', 'bisexual - predominantly heterosexual', 'bisexual - predominantly homosexual']","Historically, bisexual referred to attraction to persons of two gender identities, typically, but not always, defined as male and female. In modern use, it is usually used to refer to persons who are sexually and/or romantically attracted to persons with a gender or genders like theirs and those with a gender or genders unlike theirs.",,,
